"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",8412987.96000001,11086377.24,9051890.33399999,9219511.43400001,9121458.132,11478086.56,23.2364902436552,23.1720863977378,0.0644038459174077,0.709384421281216,0.581121614958888,"stable",0.346923244292175
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",10810324.24,17112026.52,11658337.79,21078359.88,2580007.244,3203456.685,22.4131336723575,23.6230908398539,-1.20995716749644,0.334876863917644,0.451686057009464,"stable",0.925254724955844
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",4318186.34,4243713.766,4916674.69600001,6075471.452,5080881.039,5565168.59,22.4064020506828,22.0960471547861,0.310354895896737,0.0368144495409104,0.251865232279645,"up",1.48417672778137
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,4251843.845,3846849.469,4148801.737,4533232.592,4963079.162,6958786.50899999,22.3617723687986,21.9597221375934,0.402050231205219,0.160373491120294,0.346624729738358,"stable",1.27399111038431
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5781588.19900001,5527965.61,4457823.135,2548125.003,7965026.63,6131205.29999999,22.2513305532993,22.3164198605962,-0.0650893072969048,0.909195533963102,0.638982073283665,"stable",0.112375947628507
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",2759202.767,2644210.322,1897072.762,2104845.96,4743014.824,12256719.47,22.243241909048,21.1951897123538,1.0480521966942,0.28774296390897,0.428905823199153,"stable",1.00805505292812
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",18179104.33,25732274.5,15505180.48,20850882.52,15153670.38,6969477.776,23.6331293920347,24.2063668054515,-0.573237413416734,0.353095362024089,0.45974528754079,"stable",0.856916088049819
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",5704305.515,5768800.349,6810744.239,11576616.17,13772944.71,19865467.54,23.8079344680451,22.5342802504356,1.27365421760943,0.0210246971381174,0.235668543306786,"up",1.64952712216625
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",19201706.02,35227420.86,32161524.01,23826440.25,2246036.587,2405193.435,22.2675771938825,24.7345863713198,-2.46700917743737,0.152004678366831,0.342990243373021,"stable",1.29086770541343
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,14590363.19,12203326.16,9188113.34000001,7346964.41,15348374.18,10368307.33,23.328658804386,23.4902069239166,-0.161548119530611,0.683536157376199,0.57525327958454,"stable",0.383366688957512
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",14972582.38,42585073.08,40641214.94,31882802.63,38004183.45,42959183.61,25.1541310868194,24.8187014731462,0.335429613673288,0.56969058845548,0.545065975866982,"stable",0.554372419632932
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,198386.9782,192223.3349,209115.5944,181871.8103,155835.7681,147985.9179,17.2991098907314,17.6081076301631,-0.308997739431639,0.0590826115577084,0.269692262518713,"stable",1.49986752366293
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1794528.342,1658226.783,1704271.822,2463580.498,2504321.151,1202948.997,20.8954857934232,20.7123690663859,0.183116727037305,0.652494335301626,0.567767463978273,"stable",0.446664926910105
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,6281130.302,5980161.37099999,7744632.314,6515613.60900001,8736291.721,10538941.25,23.0077619418156,22.6597036894734,0.348058252342199,0.225972793155952,0.39342775155118,"stable",1.05994126781637
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,16451306.38,15174520.76,11289244.48,5888097.494,11728335.49,8187833.63700001,22.9793051431439,23.7517640122412,-0.772458869097314,0.0966283156646079,0.307572582979813,"stable",1.34102749099727
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,35384119.88,27689026.07,28207426.44,24836441.04,19598050.05,10094955.11,24.0190976871724,24.8496604606786,-0.830562773506148,0.157934476712528,0.345597512239664,"stable",1.26464973538564
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1389429.834,2539165.011,2954955.484,7798140.826,3675403.309,34163890.99,23.2433796250763,21.058896412836,2.18448321224028,0.135523158170465,0.334808746282156,"stable",1.30199235717058
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",11823333.21,11445304.26,11029138.53,10588408.3,10710059.17,14801610.72,23.5025654517922,23.4460675771374,0.0564978746548448,0.757355575409283,0.595854479704179,"stable",0.305205976934959
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",965091.7674,7110082.937,8881645.48999999,5909763.327,11361387.23,7025993.176,22.8921917774177,21.9080457063624,0.984146071055335,0.438501723855007,0.498112900847016,"stable",0.745861135221219
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",2840960.606,2714602.854,1979161.572,2141388.041,4743014.824,12256719.47,22.2515191072321,21.2422383586297,1.00928074860237,0.298078707153632,0.433868791923773,"stable",0.989977391430179
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,1212644.684,1239957.79,1500786.71,1047775.479,989279.843999999,4406695.609,20.6620610489769,20.3229575216348,0.339103527342054,0.679197633795373,0.574236715133056,"stable",0.409366713307041
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,4151660.528,35441551.06,24863541.41,14130247.5,10269445.62,71472128.92,24.3783385974664,23.8772413077242,0.501097289742173,0.717935139118868,0.583417080619384,"stable",0.336465613828948
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,11624686.73,11133269.29,16559079.52,5070820.565,2293803.073,7352340.935,22.0709567128221,23.6200605375722,-1.54910382475003,0.0749488870763351,0.284266020482568,"stable",1.45983328379005
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3100954.738,2537710.507,6149943.50599999,3328080.388,8904637.90600001,4168242.135,22.2477973412269,21.7971729450316,0.450624396195288,0.479529701526153,0.514582250053866,"stable",0.641694290571803
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",260525.2566,365740.1063,406175.9749,389117.9382,630397.2885,2031266.561,19.5965659708703,18.3677561367769,1.22880983409341,0.219654910197267,0.389115214424568,"stable",1.13409960894417
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",3984244.416,2870337.915,2671703.949,2109846.841,4104875.068,8806143.841,22.0158975685977,21.5759975344878,0.439900034109876,0.54260636277976,0.536626523659374,"stable",0.589423807233354
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3733341.068,3839134.248,2761487.856,1388270.054,4303163.21,498241.2645,20.4561026400255,21.7004666053397,-1.24436396531418,0.299104484405238,0.434348648233441,"stable",0.996215942540883
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",2147776.534,1784794.282,2408075.043,2132090.271,2491393.764,2858777.916,21.2397752785518,21.0003959172653,0.239379361286531,0.244268441380416,0.405119724543405,"stable",0.995430557533185
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",9263750.08900001,8944106.98900001,5974809.03600001,2975697.88,8360173.037,3145448.817,22.0282441520602,22.9153773635459,-0.887133211485658,0.200217970632078,0.374848212903421,"stable",1.14028490387338
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",628762.248900001,658399.2684,526921.1291,386973.9264,1010238.65,612352.915,19.2440484600468,19.1993285960055,0.0447198640412481,0.92244521099059,0.642312808136947,"stable",0.0958255189017715
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3111386.694,9011066.02499999,9909674.53800001,13404008.75,10345902.79,8669048.64200001,23.3420532167887,22.6375996275442,0.704453589244448,0.318730465220503,0.444043592392416,"stable",0.933390628037328
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1449215.129,1084956.289,953601.592499999,1450578.888,3951432.841,4784531.359,21.524029324623,20.1263576500837,1.39767167453929,0.108391789272927,0.317334314634119,"stable",1.37566865923816
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",530648.2763,778079.206600001,561676.4241,1669887.29,1446907.52,882201.2199,20.2955362709929,19.2287778764798,1.06675839451305,0.0407135061059562,0.254144419115141,"up",1.50518894390064
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,4687498.577,2982632.584,5158402.824,2800575.42,3219287.367,12118540,22.1887714485279,21.9890115564432,0.199759892084678,0.801630979599974,0.609458585822413,"stable",0.243986592634193
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",802223.2494,779396.0504,859602.058800001,1598930.67,1106887.084,3094098.421,20.74928007942,19.6329835866261,1.11629649279391,0.12233728007488,0.327053776571777,"stable",1.39227497688809
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",20778036.4,19443646.11,21945984.58,22197551.5,21049960.57,17758193.08,24.2710642884862,24.3029350303576,-0.0318707418713657,0.789809088031838,0.605916616445332,"stable",0.254535663867986
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,8681342.62800001,7935454.366,9279389.71300001,7689930.82,9456928.52499999,9087676.773,23.05431984765,23.0383222155082,0.0159976321417439,0.894374401392872,0.635182026009433,"stable",0.125401238540384
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",401365.6578,913721.943400001,1940874.228,608312.5358,209933.4468,4684329.37600001,19.684478937088,19.768076177619,-0.0835972405309136,0.958272779367914,0.651018939061154,"stable",0.0502342590332331
"Prostaglandin A2","Com_3022_neg","Prostaglandin A2","C20 H30 O4",334.21459,7.269,333.20739,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1756915.891,1779366.043,1842307.814,1558831.293,1746696.777,2313038.674,20.8165296918643,20.7735427628086,0.0429869290557505,0.823814868799751,0.615936136816292,"stable",0.221040838225798
"Asaraldehyde","Com_3043_neg","Asaraldehyde","C10 H12 O4",196.07338,6.579,195.06611,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",11214078.54,13444550.24,12689307.1,13054975.15,9830609.47999999,14461316.91,23.5508804697942,23.5654786194355,-0.014598149641369,0.941918647717069,0.647098036630477,"stable",0.0701823739446043
"Ala-Leu","Com_3108_neg","Ala-Leu","C9 H18 N2 O3",202.1318,5.185,201.12453,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4703841.74100001,4588044.192,5423278.42000001,5636743.95500001,5516348.45200001,784017.9067,21.4674132815722,22.2218632515781,-0.754449970005986,0.508072490264127,0.525004796436314,"stable",0.654021171943244
"N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","Com_3145_neg","N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","C15 H20 F N3 O3",309.14812,5.51,308.14084,"Full match","No results","No results",NA,NA,NA,NA,167422.9874,155357.3819,172043.6544,154230.3958,163721.9653,2100192.832,18.5192354417945,17.3302615078508,1.18897393394363,0.439361044799411,0.498477601495424,"stable",0.762446762819136
