"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",10859882.4,6461958.79299999,2355584.081,7052615.32999999,4562683.744,12518622.08,12256719.47,14776347.44,3668617.007,22.936568561895,22.3878995543646,0.548669007530407,0.505442297734643,0.891621371813793,"stable",0.80466920328086
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",11005326.92,11008231.65,7337110.03,11147362.99,10635398.14,9047697.257,6969477.776,7231771.555,4067252.571,22.8893081698425,23.196852851621,-0.307544681778513,0.332625790000497,0.844091931091419,"stable",0.85531066575906
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",8482857.52700001,9875488.45099999,5644583.26,11661604.04,10639613.47,13766227.83,19865467.54,10403722.3,5515603.47999999,23.413713075572,22.8933250723701,0.520388003201919,0.183853734713136,0.749531897363636,"stable",1.1919411559134
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",2428458.326,2305002.564,1730117.019,2395275.287,3339148.3,2172690.331,2405193.435,2119567.057,973002.066299999,21.0031671553519,21.0234614707761,-0.0202943154241382,0.945374295621937,0.938978006301354,"stable",0.0557411188084816
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,784262.4879,1004701.582,1240289.368,2119606.306,997911.076299999,1044869.562,10368307.33,1991419.756,1490629.911,20.9462236175114,19.9205193378626,1.02570427964879,0.105456541473025,0.638016370357283,"stable",1.22496147837059
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",8853500.54099999,10889378.58,11109863.6,26389186.35,25953618.49,28610388.97,42959183.61,28874987.77,10454430.53,24.585050508638,23.2865242055564,1.29852630308162,0.00417970475732871,0.211270874397056,"up",2.0534487770021
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,13942199.13,138451.7058,1387091.914,139188.1361,311124.7277,153739.0077,147985.9179,158592.072,2085827.9,18.001030698301,20.4052033547019,-2.40417265640096,0.33699269174154,0.845800724588873,"stable",1.35028008246316
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7234079.48100001,8226899.52199999,4709894.00099999,11213238.66,10490651.11,9395736.132,1202948.997,7660915.66500001,5283032.58200001,22.5508399455067,22.6418528573124,-0.0910129118057128,0.874178335758479,0.93433452075761,"stable",0.123407130464561
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,8032679.58399999,6075201.144,8283520.92000001,6258575.71199999,5513350.372,6452446.073,10538941.25,6817755.258,9597015.927,22.8029269983721,22.8179211102958,-0.0149941119237091,0.944878682135364,0.938947952806863,"stable",0.0628917589514032
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,558971.3638,1314716.018,1423069.178,3393662.272,1530284.614,1547537.767,8187833.63700001,3675343.108,5361453.62299999,21.6550023276091,19.9531029971741,1.70189933043502,0.0313652613073065,0.443753657644682,"up",1.89245390117858
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,25816533.23,10369703.2,1483613.063,19944620.2,16355013.69,7024031.30999999,10094955.11,15220156.48,7714810.41799999,23.4937340134449,22.8094488857193,0.684285127725651,0.63285282888447,0.911510133840928,"stable",0.756128184282122
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",30092617.43,21506908.68,21905596.48,13510762.27,19816434.65,13150399.23,34163890.99,14009512,11426624.33,23.9646952227267,24.5286664201833,-0.563971197456667,0.0886213785523996,0.601087366209089,"stable",1.3535519763018
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",12100284.15,10927184.62,9268903.29200001,11139468.78,9622087.251,10474448.09,14801610.72,8530791.34999999,5512798.588,23.1942198160089,23.3513077371843,-0.157087921175382,0.50489328217478,0.891516306829053,"stable",0.532208773120222
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",8573055.32399999,5070174.93000001,11878304,5583490.151,5929770.105,5123628.365,7025993.176,6673549.962,6028103.978,22.5230969186602,22.9356025469661,-0.412505628305869,0.367985909045159,0.856929902965492,"stable",1.39734529922701
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",10859882.4,6461958.79299999,2355584.081,7052615.32999999,4562683.744,12518622.08,12256719.47,14776347.44,3668617.007,22.936568561895,22.3878995543646,0.548669007530407,0.505442297734643,0.891621371813793,"stable",0.80466920328086
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,1113887.778,1032067.086,4243821.455,1320909.317,1065859.218,1193599.279,4406695.609,1406441.614,5474133.57799999,20.9037759758265,20.6937367704629,0.210039205363575,0.803565288138564,0.928974030889263,"stable",0.278766499796092
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,41008703.3,41420298.34,26579719.8,32794602.01,5736323.71,134729285.4,71472128.92,25042596.71,9319446.08099999,24.707451551477,25.0856946532628,-0.378243101785863,0.624875894402932,0.9104816274883,"stable",0.365234099974228
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,7744063.34099999,5540050.355,7404520.808,10251774.99,20264499.89,8159344.051,7352340.935,8684381.217,2445044.378,22.9338394077592,22.7020339743743,0.231805433384952,0.609294652458656,0.908402098343393,"stable",0.387246025848049
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",9448528.42100001,9629451.16500001,537498.7099,7190943.68499999,9244251.315,18451362.61,4168242.135,6475110.82399999,1151519.707,22.4679479231523,21.802194043314,0.665753879838359,0.688546648242942,0.918081389368666,"stable",0.544358832165521
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5237567.655,4758615.696,4246071.862,8411366.90500001,7228737.748,8461368.60499999,2031266.561,13933303.02,9376033.972,22.7747015399771,22.1734244727957,0.601277067181336,0.184828134361868,0.75052292422686,"stable",0.991647556508139
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",2245240.334,2724685.765,3911971.116,6938239.311,2920593.302,3851423.986,8806143.841,8129503.301,4167317.556,22.3494051837419,21.4585203875923,0.890884796149543,0.0442976010008393,0.474932855668308,"up",1.67274044508512
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",4833176.674,4008683.804,10717692.83,3714500.361,1973515.669,3545778.792,498241.2645,4180853.068,3987672.598,21.2239518021919,22.4975761782973,-1.27362437610543,0.0971299640616869,0.620804837025093,"stable",1.4210107359346
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5733756.773,4810803.845,4199552.247,7093600.83699999,7847913.76000001,5596022.86800001,2858777.916,8755497.268,6995135.87699999,22.5540967269282,22.2168999693055,0.337196757622696,0.254456647344533,0.805511940031174,"stable",0.89525938482221
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3137188.048,3466380.705,6108372.606,4806024.879,2436682.876,3611039.122,3145448.817,7628723.33299999,7368491.775,22.0762774942075,21.9494652988326,0.126812195374868,0.766443936479294,0.925789300193401,"stable",0.28600365915794
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",1503207.439,2003472.841,3006361.359,4108493.903,2476091.344,3021670.217,612352.915,4552783.856,5266808.842,21.4012575201239,20.9910904003666,0.410167119757347,0.478447610448965,0.886202355473588,"stable",0.573309071450165
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",9930368.45100001,9953848.73900001,6459836.07499999,12729227.58,10450086.5,10383065.95,8669048.64200001,8851372.935,7582665.62700001,23.200928001033,23.0377683249516,0.163159676081452,0.533036227180375,0.896652025330199,"stable",0.76208407915722
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",293336.2425,471138.171,441135.9554,779268.306700001,394437.0298,647760.486099999,4784531.359,2365698.027,1462241.038,20.2183045725891,18.5862834434871,1.63202112910208,0.0293349302649224,0.436952977852767,"up",1.62794822996062
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7684700.45699999,6689343.80699999,5489586.28400001,12678510.93,10207470.83,14082816.3,882201.2199,10815531.12,5724486.226,22.6987501365669,22.645085618863,0.053664517703826,0.935492620405652,0.938373150047733,"stable",0.0596679969825061
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,3531972.338,3045811.802,3594690.028,5055184.514,3756162.887,5144437.212,12118540,5333102.638,2560845.046,22.2616978499509,21.6892913084664,0.572406541484447,0.119587757052996,0.663367551585365,"stable",1.16833258205827
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",7102497.43899999,7997245.74100001,5484449.88,15833646.68,13439541.52,12520325.09,3094098.421,11845759.4,6944074.22500001,23.1600909083933,22.6926274173181,0.467463491075147,0.276353737348325,0.818119491363773,"stable",0.836497788257624
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",20459701,17660680.26,13186534.71,17170586.67,17951642.15,16455416.82,17758193.08,15548820.98,8246822.622,23.8417996627342,24.0042938189883,-0.162494156254102,0.551766758626936,0.899808823271664,"stable",0.563191255342344
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,9952172.62,9277034.50600001,5199957.148,5444516.199,7786907.566,6502407.353,9087676.773,7503320.13600001,2361657.318,22.5045799982383,22.9006268863403,-0.396046888102028,0.376358667989698,0.859666087169707,"stable",0.826052556898294
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",802737.105699999,848560.688900001,613673.707200001,1736961.28,1011575.85,2154207.967,4684329.37600001,2556791.289,512698.0988,20.6880162362135,19.5121128756461,1.17590336056735,0.0487862748339854,0.482497884812161,"up",1.47878776238963
"Prostaglandin A2","Com_3022_neg","Prostaglandin A2","C20 H30 O4",334.21459,7.269,333.20739,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3739927.943,1934579.186,2268077.248,2058896.955,1674946.552,1925060.78,2313038.674,1813955.809,2203863.222,20.9215442476481,21.277068580615,-0.355524332966816,0.339795807064873,0.846877998476854,"stable",1.41853138983702
"Asaraldehyde","Com_3043_neg","Asaraldehyde","C10 H12 O4",196.07338,6.579,195.06611,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",8458818.40399999,9287905.35600001,6805883.681,5374082.954,11976935.42,11341649.58,14461316.91,9803802.003,6532162.268,23.1593674168499,22.9524325412585,0.206934875591347,0.45373954378313,0.880744583483176,"stable",0.599667513697623
"Ala-Leu","Com_3108_neg","Ala-Leu","C9 H18 N2 O3",202.1318,5.185,201.12453,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",9289166.75200001,8368087.301,4451661.148,7804410.289,7452968.80000001,7671809.64900001,784017.9067,8207731.505,3677076.684,22.1592640829074,22.7431655278385,-0.583901444931151,0.390748164696158,0.864131805034484,"stable",0.689213715650002
"N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","Com_3145_neg","N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","C15 H20 F N3 O3",309.14812,5.51,308.14084,"Full match","No results","No results",NA,NA,NA,NA,6127922.625,7269350.837,4449107.603,6180159.601,5359744.142,4725442.74899999,2100192.832,4793050.945,2649647.934,21.9361559835999,22.4751487717251,-0.538992788125125,0.146168477083803,0.704066216589349,"stable",1.22822725171457
"LNAPE 16:0/N-16:0","Com_3177_neg","LNAPE 16:0/N-16:0","C37 H74 N O8 P",691.51586,11.163,690.50859,"No results","Full match","No results",NA,NA,NA,NA,25758885.78,19003924.32,10602257.18,19018144.7,36372573.86,32176976.96,15601668.84,13549080.35,2992602.259,23.8894340076729,24.0454096636326,-0.155975655959708,0.816896705925695,0.930052067784978,"stable",0.19369116156473
"PC 16:1_20:4","Com_3222_neg","PC 16:1_20:4","C44 H78 N O8 P",825.55276,9.847,824.54548,"No results","Invalid mass","No results",NA,NA,NA,NA,25796892.21,25492997.54,19606837.57,40711461.93,50121116.23,19600042.02,8633273.708,14970589.21,2563435.24,23.8748252166662,24.4830483811784,-0.608223164512182,0.39290142443,0.864775728294818,"stable",0.632735237796798
