"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",18179104.33,25732274.5,15505180.48,20850882.52,12641499.48,15153670.38,23.9194777707042,24.2063668054515,-0.286889034747315,0.524420428864169,0.452516457350431,"stable",0.712921054874977
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",5704305.515,5768800.349,6810744.239,11576616.17,9046291.16700001,13772944.71,23.4296463309773,22.5342802504356,0.895366080541649,0.0184014236401529,0.204584722773734,"up",1.52340259817317
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",19201706.02,35227420.86,32161524.01,23826440.25,20467528.54,2246036.587,23.2972812192559,24.7345863713198,-1.43730515206395,0.366755847505522,0.394537369489937,"stable",0.888903697401573
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,14590363.19,12203326.16,9188113.34000001,7346964.41,8245398.079,15348374.18,23.2184856926926,23.4902069239166,-0.271721231224003,0.653755456129236,0.50033291566347,"stable",0.555266553558721
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",14972582.38,42585073.08,40641214.94,31882802.63,62683195.16,38004183.45,25.3358351346787,24.8187014731462,0.517133661532593,0.270973338080644,0.358048239149128,"stable",0.684047817735462
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,198386.9782,192223.3349,209115.5944,181871.8103,191480.057,155835.7681,17.4230213049876,17.6081076301631,-0.185086325175423,0.275449471681003,0.359429219152306,"stable",1.15224009574471
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1794528.342,1658226.783,1704271.822,2463580.498,1129419.387,2504321.151,20.8651544018164,20.7123690663859,0.152785335430544,0.708524104330727,0.520434207445137,"stable",0.326892299900956
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,6281130.302,5980161.37099999,7744632.314,6515613.60900001,7856667.142,8736291.721,22.8665150768589,22.6597036894734,0.206811387385496,0.173935513396918,0.316323200406795,"stable",0.868822924629313
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,16451306.38,15174520.76,11289244.48,5888097.494,3609709.267,11728335.49,22.5854387614123,23.7517640122412,-1.16632525082891,0.207165520580616,0.333743960090251,"stable",1.23957555047885
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,35384119.88,27689026.07,28207426.44,24836441.04,18419438.37,19598050.05,24.3082958796108,24.8496604606786,-0.541364581067704,0.00191808270060509,0.134512683435437,"down",1.39759636559208
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1389429.834,2539165.011,2954955.484,7798140.826,5721805.238,3675403.309,22.3840696253344,21.058896412836,1.32517321249844,0.171024296753959,0.314580633706985,"stable",1.36627382478605
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",11823333.21,11445304.26,11029138.53,10588408.3,9759866.83000001,10710059.17,23.3022918480055,23.4460675771374,-0.14377572913185,0.119233636390341,0.284394690579791,"stable",1.35286199494402
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",965091.7674,7110082.937,8881645.48999999,5909763.327,5254976.857,11361387.23,22.7525191891536,21.9080457063624,0.844473482791148,0.453043342196591,0.429039630283932,"stable",0.607037864031372
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",2840960.606,2714602.854,1979161.572,2141388.041,2937628.652,4743014.824,21.564569456954,21.2422383586297,0.322331098324302,0.580266937654644,0.470606013742414,"stable",0.660789999069033
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,1212644.684,1239957.79,1500786.71,1047775.479,1712749.743,989279.843999999,20.207600089727,20.3229575216348,-0.11535743190781,0.74688956054505,0.533578291479497,"stable",0.347490066639124
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,4151660.528,35441551.06,24863541.41,14130247.5,12671633.8,10269445.62,23.5464125262492,23.8772413077242,-0.330828781475013,0.782667571834765,0.545202829797926,"stable",0.280052510411683
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,11624686.73,11133269.29,16559079.52,5070820.565,5235440.593,2293803.073,21.9076591415536,23.6200605375722,-1.71240139601857,0.0953974605109903,0.271264432096665,"stable",1.48445656437616
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3100954.738,2537710.507,6149943.50599999,3328080.388,8014084.173,8904637.90600001,22.5621635331715,21.7971729450316,0.764990588139959,0.241038546052844,0.347834715830323,"stable",0.899876017568352
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",260525.2566,365740.1063,406175.9749,389117.9382,236692.625,630397.2885,18.5628016655921,18.3677561367769,0.195045528815154,0.682377768898154,0.511043633465326,"stable",0.350664261654342
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",3984244.416,2870337.915,2671703.949,2109846.841,6768798.857,4104875.068,21.8893607140663,21.5759975344878,0.31336317957847,0.6731140918463,0.507627694231174,"stable",0.480476694536963
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3733341.068,3839134.248,2761487.856,1388270.054,2086204.64,4303163.21,21.1447573952086,21.7004666053397,-0.555709210131099,0.463660693253378,0.432722736196826,"stable",0.80558770396486
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",2147776.534,1784794.282,2408075.043,2132090.271,698947.294,2491393.764,20.5623942871774,21.0003959172653,-0.43800163008795,0.439469261720019,0.424169839576733,"stable",0.577085625269624
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",9263750.08900001,8944106.98900001,5974809.03600001,2975697.88,1574886.853,8360173.037,21.6955715840264,22.9153773635459,-1.21980577951943,0.303351145839877,0.367317745891651,"stable",1.06442969705818
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",628762.248900001,658399.2684,526921.1291,386973.9264,174444.9388,1010238.65,18.6401845885462,19.1993285960055,-0.559144007459356,0.568780766191148,0.467065346195804,"stable",0.587644736759667
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3111386.694,9011066.02499999,9909674.53800001,13404008.75,9078612.65,10345902.79,23.3642526069929,22.6375996275442,0.726652979448641,0.402935244073839,0.41008417293225,"stable",0.903286723726294
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1449215.129,1084956.289,953601.592499999,1450578.888,1685790.477,3951432.841,21.0223785304162,20.1263576500837,0.896020880332461,0.277221559956327,0.359966485681742,"stable",1.12786559124802
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",530648.2763,778079.206600001,561676.4241,1669887.29,996383.6324,1446907.52,20.3540674600715,19.2287778764798,1.12528958359164,0.103482697091942,0.274241492422504,"stable",1.48595941077766
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,4687498.577,2982632.584,5158402.824,2800575.42,3421949.5,3219287.367,21.5806629405061,21.9890115564432,-0.408348615937133,0.311120015920329,0.36931586824459,"stable",1.02993284537024
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",802223.2494,779396.0504,859602.058800001,1598930.67,847946.400700001,1106887.084,20.126788709556,19.6329835866261,0.493805122929881,0.198215371911148,0.329455673708178,"stable",1.12403069582327
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",20778036.4,19443646.11,21945984.58,22197551.5,23461618.11,21049960.57,24.4050035298704,24.3029350303576,0.102068499512889,0.397682616612391,0.407931904892439,"stable",0.999212562559658
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,8681342.62800001,7935454.366,9279389.71300001,7689930.82,8191513.86199999,9456928.52499999,23.0043927064463,23.0383222155082,-0.0339295090619878,0.678694777035028,0.509691238560509,"stable",0.253441206974525
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",401365.6578,913721.943400001,1940874.228,608312.5358,1374749.509,209933.4468,19.0949210202985,19.768076177619,-0.673155157320476,0.648503652778832,0.498316490864319,"stable",0.518908431830012
"Prostaglandin A2","Com_3022_neg","Prostaglandin A2","C20 H30 O4",334.21459,7.269,333.20739,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1756915.891,1779366.043,1842307.814,1558831.293,3645200.523,1746696.777,21.0352659557184,20.7735427628086,0.261723192909802,0.568984419000435,0.467128894939921,"stable",0.534945949781182
"Asaraldehyde","Com_3043_neg","Asaraldehyde","C10 H12 O4",196.07338,6.579,195.06611,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",11214078.54,13444550.24,12689307.1,13054975.15,13102363.97,9830609.47999999,23.5034232013075,23.5654786194355,-0.0620554181279971,0.750165343607833,0.534667272958885,"stable",0.321006172920656
"Ala-Leu","Com_3108_neg","Ala-Leu","C9 H18 N2 O3",202.1318,5.185,201.12453,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4703841.74100001,4588044.192,5423278.42000001,5636743.95500001,4607040.242,5516348.45200001,22.3190405113367,22.2218632515781,0.0971772597585741,0.358165731956024,0.390582160699083,"stable",0.62784405360901
"N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","Com_3145_neg","N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","C15 H20 F N3 O3",309.14812,5.51,308.14084,"Full match","No results","No results",NA,NA,NA,NA,167422.9874,155357.3819,172043.6544,154230.3958,137599.7708,163721.9653,17.208578166834,17.3302615078508,-0.121683341016798,0.0555692485531534,0.253943275754731,"stable",0.961304043832441
"LNAPE 16:0/N-16:0","Com_3177_neg","LNAPE 16:0/N-16:0","C37 H74 N O8 P",691.51586,11.163,690.50859,"No results","Full match","No results",NA,NA,NA,NA,28823864.46,27339873.47,15874444.75,10467678.53,12359437.7,2837895.45,22.7716459902293,24.4684888207772,-1.69684283054789,0.0522607303296084,0.251645489990249,"stable",1.26235853552259
"PC 16:1_20:4","Com_3222_neg","PC 16:1_20:4","C44 H78 N O8 P",825.55276,9.847,824.54548,"No results","Invalid mass","No results",NA,NA,NA,NA,29766716.23,35499314.78,23947149.16,11288026.65,10546097.19,5414155.98599999,23.042266949186,24.8072783881219,-1.76501143893595,0.0145826144315058,0.197790878602674,"down",1.52796277419901
"Boldione","Com_3264_neg","Boldione","C19 H24 O2",284.17721,8.522,283.16993,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",123212.9859,124130.4643,110678.3651,96428.56531,103795.9584,113872.2371,16.6725400770725,16.8627687347958,-0.190228657723328,0.250688993023535,0.351326987600781,"stable",1.22160501467808
"N-Acetyl-L-carnosine","Com_3274_neg","N-Acetyl-L-carnosine","C11 H16 N4 O4",268.11355,6.865,267.10628,"Invalid mass","No results","No results",NA,NA,NA,NA,1370089.205,2239216.742,1302907.218,1153105.799,1243306.292,1218044.927,20.1996598985757,20.5979013554187,-0.398241456843035,0.224824758698981,0.341475777715907,"stable",1.03140578363682
"α-Estradiol","Com_3282_neg","α-Estradiol","C18 H24 O2",272.17389,5.423,271.16662,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",294810.2279,172594.4505,201188.3187,280613.0919,487228.4243,482628.6668,18.6243385510483,17.7282135401577,0.896125010890604,0.207959311983814,0.334111592198925,"stable",1.30994168121048
"Undecanedioic acid","Com_3301_neg","Undecanedioic acid","C11 H20 O4",216.13621,6.015,197.11834,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3620848.497,3423448.881,4973953.368,5321487.769,6500490.32,3932342.839,22.2941576683745,21.9136256577568,0.380532010617667,0.417275167493911,0.415791977418011,"stable",0.958077915517995
