"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",1708143.682,1983465.782,1730423.457,2173610.674,1290704.857,1591912,2342007.042,1322415.54,1041680.476,20.5730430849676,20.7820945592207,-0.209051474253087,0.332709869053036,0.390088827404276,"stable",0.593524060226577
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",10475197.71,9600643.887,11075267.88,8362065.623,7740546.07600001,11215769.57,8329193.72299999,6781478.189,7757776.04900001,22.9780970989317,23.3053373773003,-0.327240278368567,0.0254389467094108,0.145456070471321,"down",1.37617171570899
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",22804808.17,15631962.75,24492044.45,24347414.39,19731282.57,22000005.61,17712593.13,21655957.99,26140968.1,24.3747648647388,24.2955467227582,0.0792181419805722,0.742075997576267,0.544583360556037,"stable",0.357377759049011
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",10838328.61,10974573.78,13406234.19,13087567.01,9065550.25799999,11787230.53,6257017.251,6990942.162,10763697.1,23.15302461397,23.477900413015,-0.32487579904496,0.148392175825826,0.282644907179127,"stable",0.917666131029721
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,26271472.22,28866211.84,29469503.95,37357902.89,46236592.63,36675493.18,36667424.81,34582599.93,40943146.38,25.2007353604547,24.7475305370754,0.453204823379313,0.0009668395094086,0.0371087360029743,"up",1.88668963206084
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",4206418.398,6592132.379,4708660.167,7640150.618,4904348.837,5964759.96,3283156.474,6185533.913,4789822.566,22.3329153379619,22.2744532945115,0.0584620434503158,0.829980610327885,0.572181941998717,"stable",0.170292519581676
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",1718121.259,2293934.721,3124289.908,1953762.719,1656364.604,2356864.791,2196088.919,1402788.515,2032407.521,20.861163276235,21.1389634116698,-0.277800135434852,0.387849815134693,0.412925377421625,"stable",0.891309225256952
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",9205549.78599999,10038274.74,6650170.957,9821584.48400001,14391666.7,8741099.715,8412830.495,10496526.69,11228702.16,23.3023157412247,23.0193468184839,0.282968922740842,0.262265924077248,0.355255629525031,"stable",0.998481896576282
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",14392294.57,17187346.87,16581362.59,16648657.14,19331575.29,16815341.74,16422224.18,14623495.95,20191917.73,24.0391398043532,23.9322320130414,0.106907791311805,0.352219161691584,0.398139163640725,"stable",0.724037456438885
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",40328373.77,13079547.52,19062430.8,25780099.36,18367897.53,37653083.83,31726735.52,11421497.76,8249395.03699999,24.2095005835693,24.3634433186853,-0.153942735115926,0.807158859746755,0.565343433349231,"stable",0.208186429611869
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,2950169.671,3140528.934,1966826.495,4700925.091,5695846.165,7118874.18399999,7905015.062,5894599.88100001,6265097.95799999,22.5589024266365,21.3274602978236,1.23144212881292,0.0130870521239964,0.109804761789981,"up",1.97297741548515
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",3008701.636,3566049.857,4413506.389,7301159.814,6540545.01399999,9266911.152,7547352.974,3283068.156,3522343.006,22.4710978878251,21.786699637859,0.684398249966101,0.0565452597818859,0.195563034749845,"stable",1.20377277915077
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,174032.8249,196692.3793,212087.1826,162809.119,146157.345,175672.6776,188283.3711,160613.3306,1168354.275,17.8107232730247,17.5629597879542,0.247763485070521,0.625860609294007,0.502121075307706,"stable",0.289710713619065
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",2595950.922,2522464.173,2228471.607,1925041.071,2209114.085,1825793.201,2063472.453,2490341.514,3311031.095,21.1058317123016,21.2206190582822,-0.114787345980577,0.453717022550149,0.438971633231077,"stable",0.476210414394624
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,6654375.21999999,12983566.1,8954464.83499999,8766344.77800001,4802059.56699999,7449071.664,6287842.619,6380181.85099999,6400368.976,22.6477364181605,23.1300769748631,-0.482340556702582,0.217804170316716,0.328702808112754,"stable",1.26971225464328
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,1723439.12,1885945.937,1010513.908,2131186.697,2550285.874,2046813.852,2647951.579,2670246.707,2492018.688,21.2007119906038,20.5034578476069,0.697254142996922,0.124013444943206,0.262972083234975,"stable",1.69537837681908
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,32326715.76,28413871.89,45260837.27,23230016.94,6320235.64,72391131.3400001,33704647.58,5594626.961,5362106.532,23.8244610964943,25.0460252156877,-1.22156411919338,0.124066533514019,0.263019765867361,"stable",0.936221849475385
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",20065959.67,14817465.12,19626915.03,17488254.74,16877306.66,20610094.07,19166502.63,16095810.72,14776964.01,24.0524040555312,24.1017907456046,-0.0493866900733302,0.774035082001374,0.555019768099364,"stable",0.289008948732162
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",11953898.84,11518700.88,11929037.56,10833066.56,8321717.04700001,10167537.22,9342508.70299999,8193826.71099999,10130073.03,23.1714134762334,23.4921422986271,-0.320728822393711,0.00431758478991437,0.0660498849641042,"down",1.67286806111511
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",4739422.061,10244004.96,7796908.74,9333392.42199999,5736948.078,7235598.697,8518872.27000001,6019750.323,4441303.213,22.6697596675654,22.7863423504129,-0.116582682847486,0.769268340541172,0.553493618615806,"stable",0.296137485248676
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",1741649.545,2293934.721,3124289.908,1953762.719,1695117.406,2356864.791,2284121.477,1410220.62,2032407.521,20.8774451409543,21.1455042427913,-0.268059101836926,0.39407235921593,0.415524238826762,"stable",0.870274712918065
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,968917.9596,1149326.352,1336728.745,1084689.855,726104.0683,1350384.956,1577882.173,1289535.373,678977.749100001,20.0240983355501,20.1228824583753,-0.0987841228251298,0.697399144934444,0.529145567429904,"stable",0.25808897896534
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,10634969.95,19434028.88,10365509.42,32393356.23,15420971.41,32876110.4,32598606.15,33617919.32,19593989.22,24.6638438456193,23.6198939959301,1.04394984968917,0.0444659821793912,0.181202005898938,"up",1.61802840966078
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,2356410.037,4010382.774,6172857.074,8929172.636,3886291.321,10788708.64,11222938.35,5195721.623,9116055.94500001,22.8653157854159,21.8869915470697,0.978324238346211,0.114685763525124,0.254212439504759,"stable",1.36365824053886
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1774999.902,2579301.593,2752136.32,2648079.727,1973185.178,2822687.018,4240059.654,1060313.556,1429667.342,21.0260347535521,21.1500190198703,-0.123984266318203,0.736913599365666,0.542851452514306,"stable",0.223838132632085
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",1489756.357,467675.361,1472937.7,1201727.102,1000494.785,1480776.2,549279.8441,754388.371699999,534362.5003,19.7077452107708,19.9440192837978,-0.236274073027065,0.724455182609861,0.538617082568833,"stable",0.371849067388026
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",7047899.902,6120627.192,5904748.40600001,7510318.685,4261619.131,7854431.69,6687399.707,5210018.739,4478107.627,22.4748028686332,22.5958180760236,-0.121015207390332,0.511544645211513,0.458286488458897,"stable",0.414094132395814
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3283490.092,3778819.003,2154140.59,4996512.857,2666980.54,3092864.461,3369751.255,7938776.507,6568354.971,22.0685957951066,21.5116612128973,0.556934582209337,0.168598653296317,0.29699552376599,"stable",0.983822583574468
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",1022081.298,982711.326100001,919648.8462,668037.400699999,430187.7749,665804.2981,632674.7579,526983.477500001,565824.4592,19.1329021236664,19.8934034174075,-0.760501293741125,0.000309336150685686,0.0172324321529623,"down",1.9179137272088
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",2538834.875,3193561.176,1702319.804,4080416.261,2934970.273,3226809.733,3530801.936,6883939.559,5756323.726,21.9983267014085,21.1938468177093,0.804479883699166,0.0673540899550884,0.205168882403841,"stable",1.44292980137591
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",239994.1898,426439.9754,168604.9476,576173.7692,481657.6565,357940.801,378499.7204,523506.591600001,538580.323,18.838289565048,17.9793034866249,0.858986078423094,0.149427551893399,0.283392164220159,"stable",1.57251932802538
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",7249074.773,9180679.17799999,8753631.22000001,7100309.29200001,8700693.11299999,5695190.688,6440841.423,8695852.14,10669041.11,22.8785171603981,22.9936616904141,-0.115144530015996,0.523094340476752,0.461806591426652,"stable",0.438812575611404
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",3245016.13,4737630.947,2816621.948,7832713.82000001,7945459.01499999,9163709.837,5254610.598,9501922.946,9476998.03900001,22.9385365851147,21.7436877042066,1.19484888090816,0.0139564243794495,0.113147544421038,"up",1.90382751123901
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",3578847.566,4602474.37,3665164.717,2579213.84,2380239.167,2396818.503,1643492.873,2503578.382,3021608.447,21.1841072603428,21.9034961760557,-0.719388915712901,0.00518974401999588,0.0708383931499791,"down",1.77404868545023
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,3258744.04,2155634.932,3019236.617,2665497.01,1640040.403,2813580.838,2709202.937,2123964.405,2169441.816,21.1419844497014,21.4004394810108,-0.258455031309456,0.307254007204379,0.378637279435486,"stable",0.895946702673562
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",782544.3417,810428.8126,1122074.768,957684.4061,1035717.833,3043409.116,1028553.243,630316.387,1070384.464,20.109374427279,19.7679587660456,0.341415661233391,0.362203783187018,0.402039680969798,"stable",0.579467731142953
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",30828411.22,30625335.21,30756951.32,27076297.8,30678233.14,32672588.6,31285538.41,33393704.1,39700532.53,24.9429228422037,24.8734628920792,0.0694599501244362,0.390226830435634,0.413924066447971,"stable",0.510388544820534
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,6424799.56699999,5840898.263,5823316.85800001,6835671.69799999,6654114.792,6766279.252,8181338.86900001,1259982.157,7090420.392,22.3411192382138,22.5221295107951,-0.181010272581258,0.68412523396401,0.52435512668595,"stable",0.240259479235947
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",710074.4212,966610.6116,963054.4634,1026083.24,540639.1814,1586443.829,1321349.34,1404597.36,569700.988400001,19.9142564979258,19.732481294342,0.18177520358379,0.580222499037466,0.483198409181802,"stable",0.352502187089078
