"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,13942199.13,138451.7058,1387091.914,147985.9179,158592.072,2085827.9,18.4807500652971,20.4052033547019,-1.92445328940482,0.493975029150232,0.488232734268665,"stable",0.829663828505609
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7234079.48100001,8226899.52199999,4709894.00099999,1202948.997,7660915.66500001,5283032.58200001,21.8000547769522,22.6418528573124,-0.841798080360242,0.438259110157823,0.478806576990059,"stable",0.951037594044929
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,8032679.58399999,6075201.144,8283520.92000001,10538941.25,6817755.258,9597015.927,23.0747488137467,22.8179211102958,0.256827703450885,0.0648027836065712,0.356461910293084,"stable",1.01841593099416
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,558971.3638,1314716.018,1423069.178,8187833.63700001,3675343.108,5361453.62299999,22.376230213068,19.9531029971741,2.42312721589392,0.0810517659951267,0.372096492138082,"stable",1.95651021201208
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,25816533.23,10369703.2,1483613.063,10094955.11,15220156.48,7714810.41799999,23.3352700964251,22.8094488857193,0.525821210705846,0.673877072533029,0.528155796442849,"stable",0.442240072169157
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",30092617.43,21506908.68,21905596.48,34163890.99,14009512,11426624.33,24.0705894180654,24.5286664201833,-0.458077002117879,0.30344922184106,0.462872757361072,"stable",0.879016144695759
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",12100284.15,10927184.62,9268903.29200001,14801610.72,8530791.34999999,5512798.588,23.0792841510234,23.3513077371843,-0.272023586160941,0.464456014210149,0.482623895782914,"stable",0.650961824938554
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",8573055.32399999,5070174.93000001,11878304,7025993.176,6673549.962,6028103.978,22.6458555284806,22.9356025469661,-0.289747018485418,0.541323551896149,0.496833882795417,"stable",0.794194864172309
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",10859882.4,6461958.79299999,2355584.081,12256719.47,14776347.44,3668617.007,23.0568869274733,22.3878995543646,0.668987373108649,0.151029411407352,0.421355378312305,"stable",0.745215588721783
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,1113887.778,1032067.086,4243821.455,4406695.609,1406441.614,5474133.57799999,21.6263610855193,20.6937367704629,0.932624315056369,0.218357039727697,0.445907188106055,"stable",0.987841319882292
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,41008703.3,41420298.34,26579719.8,71472128.92,25042596.71,9319446.08099999,24.606857011158,25.0856946532628,-0.47883764210486,0.553837453032234,0.49890572655768,"stable",0.566672453169455
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,7744063.34099999,5540050.355,7404520.808,7352340.935,8684381.217,2445044.378,22.3603976943301,22.7020339743743,-0.341636280044181,0.657307733884034,0.5235885216746,"stable",0.593632354435906
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",9448528.42100001,9629451.16500001,537498.7099,4168242.135,6475110.82399999,1151519.707,21.5841962605279,21.802194043314,-0.217997782786071,0.779413570201899,0.562671999344211,"stable",0.148407502119262
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5237567.655,4758615.696,4246071.862,2031266.561,13933303.02,9376033.972,22.6155094927346,22.1734244727957,0.442085019938844,0.675723623811967,0.528655711006241,"stable",0.539142940543195
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",2245240.334,2724685.765,3911971.116,8806143.841,8129503.301,4167317.556,22.6718341220714,21.4585203875923,1.21331373447902,0.16818634371211,0.429173358808128,"stable",1.77104840421834
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",4833176.674,4008683.804,10717692.83,498241.2645,4180853.068,3987672.598,20.9496554768266,22.4975761782973,-1.54792070147065,0.250143625594078,0.453438594956046,"stable",1.23375239575747
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5733756.773,4810803.845,4199552.247,2858777.916,8755497.268,6995135.87699999,22.4155484855582,22.2168999693055,0.198648516252682,0.772949202694253,0.560621535356151,"stable",0.410120486285467
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3137188.048,3466380.705,6108372.606,3145448.817,7628723.33299999,7368491.775,22.4202608624524,21.9494652988326,0.47079556361982,0.302888085848738,0.462789048678129,"stable",0.893309168912694
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",1503207.439,2003472.841,3006361.359,612352.915,4552783.856,5266808.842,21.2236063451592,20.9910904003666,0.232515944792592,0.791624754535085,0.566493559339514,"stable",0.237749584311198
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",9930368.45100001,9953848.73900001,6459836.07499999,8669048.64200001,8851372.935,7582665.62700001,22.9930619134974,23.0377683249516,-0.0447064114541718,0.776972050615142,0.56189981500405,"stable",0.218051986523863
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",293336.2425,471138.171,441135.9554,4784531.359,2365698.027,1462241.038,21.281176802063,18.5862834434871,2.6948933585759,0.0595064239774345,0.35002975651309,"stable",1.99141546144988
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7684700.45699999,6689343.80699999,5489586.28400001,882201.2199,10815531.12,5724486.226,21.85535473128,22.645085618863,-0.789730887583001,0.572463655022182,0.50185124260025,"stable",0.728335924087831
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,3531972.338,3045811.802,3594690.028,12118540,5333102.638,2560845.046,22.3884815848198,21.6892913084664,0.69919027635336,0.398687976169704,0.47392607556444,"stable",1.01382013889713
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",7102497.43899999,7997245.74100001,5484449.88,3094098.421,11845759.4,6944074.22500001,22.5954353163683,22.6926274173181,-0.0971921009498296,0.877037434786399,0.591464113046011,"stable",0.177500790675405
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",20459701,17660680.26,13186534.71,17758193.08,15548820.98,8246822.622,23.6492300858465,24.0042938189883,-0.35506373314179,0.158447071661114,0.424907518156406,"stable",0.89104834986037
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,9952172.62,9277034.50600001,5199957.148,9087676.773,7503320.13600001,2361657.318,22.3753153284848,22.9006268863403,-0.525311557855513,0.233085990652965,0.449620875066968,"stable",0.777262206645668
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",802737.105699999,848560.688900001,613673.707200001,4684329.37600001,2556791.289,512698.0988,20.8043546936036,19.5121128756461,1.29224181795749,0.257035885609123,0.454853719268674,"stable",1.195372463941
"Prostaglandin A2","Com_3022_neg","Prostaglandin A2","C20 H30 O4",334.21459,7.269,333.20739,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3739927.943,1934579.186,2268077.248,2313038.674,1813955.809,2203863.222,21.0012230315921,21.277068580615,-0.275845549022822,0.318084628918266,0.464961479154373,"stable",0.881957649773282
"Asaraldehyde","Com_3043_neg","Asaraldehyde","C10 H12 O4",196.07338,6.579,195.06611,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",8458818.40399999,9287905.35600001,6805883.681,14461316.91,9803802.003,6532162.268,23.216578238996,22.9524325412585,0.264145697737515,0.413326231424518,0.475554081226607,"stable",0.745087186464307
"Ala-Leu","Com_3108_neg","Ala-Leu","C9 H18 N2 O3",202.1318,5.185,201.12453,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",9289166.75200001,8368087.301,4451661.148,784017.9067,8207731.505,3677076.684,21.4530690065959,22.7431655278385,-1.29009652124266,0.375371396875777,0.47169676828323,"stable",1.12473492740655
"N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","Com_3145_neg","N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","C15 H20 F N3 O3",309.14812,5.51,308.14084,"Full match","No results","No results",NA,NA,NA,NA,6127922.625,7269350.837,4449107.603,2100192.832,4793050.945,2649647.934,21.5106574856032,22.4751487717251,-0.964491286121874,0.0813369319394753,0.37234515730377,"stable",1.63356139334041
"LNAPE 16:0/N-16:0","Com_3177_neg","LNAPE 16:0/N-16:0","C37 H74 N O8 P",691.51586,11.163,690.50859,"No results","Full match","No results",NA,NA,NA,NA,25758885.78,19003924.32,10602257.18,15601668.84,13549080.35,2992602.259,23.033285910245,24.0454096636326,-1.01212375338758,0.13335957331786,0.411616387661309,"stable",1.09769801663874
"PC 16:1_20:4","Com_3222_neg","PC 16:1_20:4","C44 H78 N O8 P",825.55276,9.847,824.54548,"No results","Invalid mass","No results",NA,NA,NA,NA,25796892.21,25492997.54,19606837.57,8633273.708,14970589.21,2563435.24,22.7222503287857,24.4830483811784,-1.76079805239262,0.108352610557078,0.393667185448924,"stable",1.62143229580793
"Boldione","Com_3264_neg","Boldione","C19 H24 O2",284.17721,8.522,283.16993,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",81043.7620600001,76376.6814,1141277.373,89824.0282,73559.3396599999,2388153.556,17.9362996275322,17.5498253909179,0.386474236614287,0.37840707326071,0.472001324223801,"stable",0.198994135537668
"N-Acetyl-L-carnosine","Com_3274_neg","N-Acetyl-L-carnosine","C11 H16 N4 O4",268.11355,6.865,267.10628,"Invalid mass","No results","No results",NA,NA,NA,NA,986695.198500001,929113.118800001,11569228.6,1105795.961,932703.0628,16936394.12,21.3071118391245,21.0671763430158,0.239935496108693,0.275885305781822,0.458401191958088,"stable",0.141979277266007
"α-Estradiol","Com_3282_neg","α-Estradiol","C18 H24 O2",272.17389,5.423,271.16662,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",496078.5206,337036.8605,5853469.01700001,728236.686200001,525407.732799999,2473583.436,19.9050989788358,19.9212054246456,-0.0161064458097719,0.981448381852748,0.618338273962678,"stable",0.0118494016550426
"Undecanedioic acid","Com_3301_neg","Undecanedioic acid","C11 H20 O4",216.13621,6.015,197.11834,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",5670071.679,4007121.676,2925865.232,4688579.958,7100602.57600001,3139071.453,22.1673786911767,21.9498341060773,0.21754458509934,0.569685387954869,0.501421960107097,"stable",0.517526907018482
"(±)12(13)-DiHOME","Com_3307_neg","(±)12(13)-DiHOME","C18 H34 O4",314.24587,7.484,313.2386,"Full match","No results","Full match",NA,NA,NA,NA,9841802.96600001,8120789.74,34511110.45,10683319.2,7957849.745,7913057.926,23.0628692426242,23.7414124557837,-0.678543213159429,0.447775449379479,0.479963101542991,"stable",0.969441461581736
"Ferulic acid","Com_3338_neg","Ferulic acid","C10 H10 O4",194.05528,5.632,193.04788,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",3209643.846,3379738.083,4134185.36700001,3827806.205,3121347.613,2530148.137,21.5708714625966,21.760544484004,-0.189673021407444,0.568456191607356,0.501230928942393,"stable",0.899874836136044
"Fenamiphos","Com_3340_neg","Fenamiphos","C13 H22 N O3 P S",303.10661,2.022,302.09933,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenoxy compounds","Phenoxy compounds",6800126.041,7725772.01100001,5109992.559,16857009.17,7557123.98600001,4557380.72000001,22.9920081945268,22.6210891631434,0.37091903138343,0.5134668576942,0.491928786785959,"stable",0.656612331296425
"N-(1-adamantyl)-N'-(2,2-diethoxyethyl)thiourea","Com_3404_neg","N-(1-adamantyl)-N'-(2,2-diethoxyethyl)thiourea","C17 H30 N2 O2 S",326.20216,6.973,325.19488,"Full match","No results","No results",NA,NA,NA,NA,123398.5622,116197.954,96967.8484800001,137001.5237,102301.2876,559199.160000001,17.5997666196507,16.7681366843916,0.831629935259098,0.432666805250953,0.478105930797374,"stable",1.02612888172823
"Royal jelly acid","Com_3451_neg","Royal jelly acid","C10 H18 O3",186.12569,6.649,185.11841,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",4490878.05,6583538.3,5241544.593,9401044.775,4960573.019,2441772.794,22.2086541843635,22.356852809957,-0.14819862559348,0.838214633985601,0.580480394560898,"stable",0.270041273606835
